"Freq [GHz]","re(Z(2,2)) [] - moveDistance='5mm'","re(Z(2,2)) [] - moveDistance='10mm'","re(Z(2,2)) [] - moveDistance='15mm'","re(Z(2,2)) [] - moveDistance='20mm'","re(Z(2,2)) [] - moveDistance='25mm'","re(Z(2,2)) [] - moveDistance='30mm'","re(Z(2,2)) [] - moveDistance='35mm'","re(Z(2,2)) [] - moveDistance='40mm'","im(Z(2,2)) [] - moveDistance='5mm'","im(Z(2,2)) [] - moveDistance='10mm'","im(Z(2,2)) [] - moveDistance='15mm'","im(Z(2,2)) [] - moveDistance='20mm'","im(Z(2,2)) [] - moveDistance='25mm'","im(Z(2,2)) [] - moveDistance='30mm'","im(Z(2,2)) [] - moveDistance='35mm'","im(Z(2,2)) [] - moveDistance='40mm'"
0.94,13.7975185532192,2.8358524868403,2.99612144619228,3.51089778142299,3.79761901808055,4.35518721058728,4.87975316521613,5.38517380603455,68.2760399629713,70.5002614387451,75.2621809270385,80.4058237020102,84.3500231174919,88.9202303394583,92.6741318728333,95.6529730964364
0.941,16.3973433790368,2.88310917871651,3.03795053294708,3.55907802972148,3.84955948937765,4.41589001996638,4.94873251729834,5.46240864573901,68.3100078418871,70.6342429657591,75.3928199628753,80.5488053458465,84.5035751996708,89.0895457012732,92.8585618318198,95.8488905368103
0.942,19.6963304483466,2.93154543362055,3.08048031999215,3.6080233394284,3.90232153444998,4.47756362369416,5.01882739224173,5.54091207062785,67.6427481775892,70.7691549235165,75.5238174849275,80.692131169875,84.6575098885453,89.2593070150524,93.043510631871,96.0453687285247
0.943,23.6063919436949,2.98120811857626,3.12372431186942,3.65774676095993,3.95591903465549,4.54022461603759,5.09005707177069,5.62070626950179,65.6266695529024,70.9050270038718,75.6551737200063,80.8357991713154,84.8118250882297,89.4295116428952,93.2289752821937,96.2424036239367
0.944,27.4212899840522,3.0321469604728,3.16769630948182,3.7082615599888,4.01036609647885,4.60388986303575,5.16244115720424,5.70181379882877,61.4109408365356,71.0418905683457,75.7868887925714,80.9798071653293,84.9665185103514,89.6001567077174,93.4149525125338,96.4399908320177
0.945,29.3752916111818,3.08441478528865,3.21241041770425,3.75958121986204,4.06567705397482,4.66857650527676,5.23599957277859,5.78425758625818,54.7044662091101,71.1797787729535,75.9189627199069,81.1241527778806,85.1215876665112,89.7712390838499,93.6014387620498,96.6381256046717
0.946,27.5122790351675,3.13806778230749,3.257881053245,3.81171944396394,4.12186647114555,4.7343019605869,5.31075256886578,5.86806093398425,47.18402213657,71.3187267041197,76.051395407109,81.2688334383595,85.2770298604956,89.9427553873328,93.7884301678188,96.8368028226018
0.947,22.2024453989368,3.19316579642716,3.30412295276987,3.86469015801841,4.17894914424557,4.80108392662343,5.38672072507797,5.95324752194433,41.8923872532004,71.458771526796,76.184186641878,81.4138463719636,85.4328421802354,90.1147019658907,93.9759225529636,97.0360169807098
0.948,16.0645029203381,3.24977265210702,3.35115118130061,3.91850751232311,4.23694010400618,4.86894038336064,5.46392495324484,6.03984141083589,40.0668744123292,71.5999526460248,76.3173360891073,81.5591885918293,85.5890214895041,90.2870748885858,94.1639114143921,97.2357621730209
0.949,11.034641153811,3.30795651301756,3.3989811409016,3.97318588390879,4.29585461777202,4.93788959545948,5.54238650025238,6.12786704493596,40.6577902366412,71.7423118833275,76.450843285261,81.704856890907,85.7455644193489,90.4598699351384,94.3523919101375,97.4360320771175
0.95,7.50225729927013,3.36779028205967,3.44762857966837,4.0287398786157,4.35570819154121,5.00795011450964,5.6221269507297,6.21734925470554,42.2879885438843,71.8858936694505,76.5847076325307,81.8508478335733,85.9024673592482,90.6330825849061,94.5413588462923,97.6368199380738
0.951,5.16431536622883,3.42935204712679,3.49710960103328,4.08518433307936,4.41651657190034,5.0791407811328,5.70316822957025,6.30831325916042,44.1539610839525,72.0307452551735,76.7189283927648,81.9971577469732,86.0597264479872,90.8067080055154,94.7308066635214,97.8381185518765
0.952,3.64002796411895,3.49272557881076,3.54744067340435,4.14253431661687,4.47829574784522,5.15148072693494,5.78553260427265,6.40078466798907,45.9220898373319,72.1769169420743,76.8535046811579,82.143782712086,86.2173375642472,90.9807410411344,94.9207294231483,98.0399202483209
0.953,2.64342129906288,3.55800088722459,3.59863864015415,4.20080513300479,4.54106195247733,5.22498937629496,5.86924268708589,6.49478948339694,47.4903145195076,72.3244623353579,76.9884354596933,82.2907185545066,86.375296316899,91.1551762003804,95.1111207928016,98.24221687337
0.954,1.98673375729904,3.62527484626198,3.65072072997754,4.2600123221392,4.6048316645659,5.29968644797643,5.95432143694276,6.59035410165567,48.849151147864,72.4734386210891,77.1237195303265,82.4379608349368,86.533598034996,91.3300076438538,95.3019740316129,98.4449997709645
0.955,1.55130733753978,3.69465189496754,3.7037045676373,4.32017166156753,4.6696216099646,5.37559195654782,6.04079216116406,6.68750531433419,50.0202305778346,72.6239068704272,77.2593555278993,82.5855048393787,86.6922377574581,91.5052291712879,95.4932819749544,98.6482597642736
0.956,1.26235021986926,3.76624482729881,3.75760818511911,4.38129916788186,4.73544876287145,5.45272621359706,6.1286785169159,6.78627030918784,51.0322073104207,72.7759323737466,77.3953419127736,82.7333455690232,86.8512102224403,91.680834208309,95.6850370187083,98.8519871363713
0.957,1.07216304503319,3.84017568347014,3.81245003321806,4.44341109796225,4.80233034691984,5.53110982872404,6.21800451240099,6.88667667068025,51.9122455844279,72.9295850078343,77.531676963172,82.8814777298263,87.01050985638,91.8568157927963,95.877231103056,99.0561716103315
0.958,0.949794904509725,3.91657675834762,3.86824899358103,4.50652395005849,4.87028383608807,5.61076371029529,6.30879450776391,6.98875238011146,52.6835755549301,73.0849396396914,77.6683587672133,83.0298957217678,87.1701307627143,92.0331665608348,96.0698556957778,99.260802328727
