"Freq [GHz]","re(Z(1,1)) [] - roateAngle='0deg'","re(Z(1,1)) [] - roateAngle='15deg'","re(Z(1,1)) [] - roateAngle='30deg'","re(Z(1,1)) [] - roateAngle='45deg'","re(Z(1,1)) [] - roateAngle='60deg'","re(Z(1,1)) [] - roateAngle='75deg'","im(Z(1,1)) [] - roateAngle='0deg'","im(Z(1,1)) [] - roateAngle='15deg'","im(Z(1,1)) [] - roateAngle='30deg'","im(Z(1,1)) [] - roateAngle='45deg'","im(Z(1,1)) [] - roateAngle='60deg'","im(Z(1,1)) [] - roateAngle='75deg'"
0.919777777777778,1.04350563825243,1.24830400226643,2.04799682335911,2.67836886261757,3.22163972668976,3.37312463521431,78.5526711767198,78.6395126164607,80.3123842235601,81.6805221702189,83.5504884851122,84.5450701210057
0.92,1.04319926916471,1.24786448618179,2.04679290590204,2.6768191863598,3.21998677504641,3.37160939491426,78.5817395026265,78.6698731048569,80.3425384491554,81.7086174029305,83.5778775753201,84.5716807096356
0.920222222222222,1.04289408707572,1.247426800174,2.04559341931735,2.67527485744559,3.21833939635745,3.37009921700426,78.6107992200583,78.7002206979499,80.3726809760429,81.7367061934472,83.6052633957181,84.5982899919027
0.920444444444444,1.04259008886794,1.246990937855,2.04439834615864,2.67373585666037,3.21669757267224,3.36859408682274,78.6398503631784,78.7305554494965,80.4028118539115,81.7647885689164,83.6326459613134,84.6248979758247
0.920666666666667,1.0422872714358,1.24655689286926,2.04320766907271,2.67220216488221,3.21506128611814,3.36709398976575,78.6688929660179,78.7608774130125,80.4329311322294,81.7928645563833,83.6600252870696,84.651504669405
0.920888888888889,1.04198563168567,1.24612465889364,2.04202137079898,2.67067376308132,3.21343051890014,3.36559891128668,78.6979270624764,78.7911866417738,80.4630388602449,81.820934182791,83.6874013879074,84.6781100806326
0.921111111111111,1.04168516653576,1.24569422963712,2.04083943416885,2.66915063231946,3.21180525330037,3.36410883689596,78.7269526863227,78.8214831888184,80.4931350869882,81.8489974749817,83.7147742787038,84.704714217482
0.921333333333333,1.04138587291607,1.24526559884062,2.0396618421051,2.66763275374939,3.21018547167774,3.36262375216082,78.7559698711954,78.8517671069472,80.5232198612722,81.8770544596964,83.7421439742929,84.7313170879133
0.921555555555556,1.04108774776844,1.24483876027688,2.03848857762137,2.66612010861447,3.20857115646759,3.36114364270505,78.7849786506037,78.8820384487255,80.553293231694,81.905105163576,83.769510489466,84.7579186998723
0.921777777777778,1.04079078804632,1.24441370775009,2.03731962382142,2.66461267824791,3.20696229018115,3.35966849420864,78.8139790579281,78.9122972664848,80.5833552466362,81.9331496131614,83.7968738389717,84.7845190612904
0.922,1.04049499071482,1.24399043509582,2.03615496389866,2.6631104440724,3.20535885540523,3.35819829240759,78.8429711264206,78.9425436123232,80.6134059542677,81.9611878348943,83.8242340375159,84.8111181800845
0.922222222222222,1.04020035275067,1.24356893618076,2.03499458113547,2.66161338759952,3.20376083480179,3.3567330230936,78.871954889206,78.9727775381079,80.6434454025457,81.9892198551176,83.8515910997621,84.8377160641576
0.922444444444444,1.03990687114209,1.24314920490256,2.03383845890273,2.66012149042922,3.20216821110758,3.35527267211385,78.9009303792821,79.0029990954755,80.6734736392158,82.0172457000755,83.8789450403318,84.8643127213981
0.922666666666667,1.03961454288883,1.24273123518963,2.03268658065913,2.65863473424935,3.20058096713368,3.35381722537068,78.9298976295204,79.033208335834,80.7034907118144,82.0452653959149,83.9062958738041,84.8909081596801
0.922888888888889,1.03932336500205,1.24231502100091,2.03153892995068,2.65715310083507,3.19899908576519,3.35236666882141,78.9588566726669,79.0634053103637,80.7334966676689,82.0732789686847,83.9336436147164,84.9175023868636
0.923111111111111,1.03903333450428,1.2419005563257,2.03039549041008,2.65567657204839,3.19742254996073,3.35092098847796,78.9878075413425,79.0935900700187,80.7634915538995,82.1012864443372,83.9609882775642,84.9440954107943
0.923333333333333,1.03874444842939,1.24148783518349,2.02925624575624,2.65420512983765,3.19585134275221,3.34948017040675,79.0167502680438,79.1237626655282,80.7934754174203,82.1292878487282,83.9883298768016,84.9706872393037
