id,time(s),value
0,8.405,1.86
0,8.440,1.86
0,8.440,1.86
0,8.441,1.86
0,8.443,1.86
0,8.481,1.86
0,8.482,1.86
0,8.483,1.86
0,8.503,1.86
0,8.523,1.86
0,8.526,1.86
0,8.526,1.86
0,8.527,1.86
0,8.564,1.86
0,8.564,1.86
0,8.565,1.86
0,8.566,1.86
0,8.605,1.87
0,8.607,1.87
0,8.608,1.87
0,8.609,1.87
0,8.647,1.87
0,8.663,1.87
0,8.663,1.87
0,8.666,1.87
0,8.688,1.87
0,8.693,1.87
0,8.694,1.87
0,8.695,1.87
0,8.729,1.87
0,8.730,1.87
0,8.732,1.87
0,8.743,1.87
0,8.770,1.87
0,8.771,1.87
0,8.771,1.87
0,8.771,1.87
0,8.812,1.87
0,8.812,1.87
0,8.813,1.87
0,8.813,1.88
0,8.853,1.88
0,8.854,1.88
0,8.855,1.88
0,8.856,1.88
0,8.895,1.88
0,8.907,1.88
0,8.908,1.88
0,8.910,1.88
0,8.936,1.88
0,8.938,1.88
0,8.939,1.88
0,8.940,1.88
0,8.977,1.88
0,8.978,1.88
0,8.980,1.88
0,9.000,1.88
0,9.019,1.88
0,9.024,1.88
0,9.024,1.88
0,9.025,1.88
0,9.060,1.89
0,9.061,1.89
0,9.062,1.89
0,9.063,1.89
0,9.102,1.89
0,9.102,1.89
0,9.103,1.89
0,9.119,1.89
0,9.143,1.89
0,9.143,1.89
0,9.143,1.89
0,9.144,1.89
0,9.184,1.89
0,9.185,1.89
0,9.185,1.89
0,9.186,1.89
0,9.226,1.89
0,9.226,1.89
0,9.227,1.89
0,9.239,1.89
0,9.267,1.90
0,9.267,1.90
0,9.267,1.90
0,9.268,1.90
0,9.309,1.90
0,9.309,1.90
0,9.309,1.90
0,9.310,1.90
0,9.350,1.90
0,9.351,1.90
0,9.352,1.90
0,9.373,1.90
0,9.391,1.90
0,9.394,1.90
0,9.395,1.90
0,9.396,1.90
0,9.433,1.90
0,9.433,1.90
0,9.434,1.90
0,9.435,1.90
0,9.474,1.91
0,9.476,1.91
0,9.477,1.91
0,9.478,1.91
0,9.515,1.91
0,9.520,1.91
0,9.521,1.91
0,9.522,1.91
0,9.557,1.91
0,9.557,1.91
0,9.559,1.91
0,9.561,1.91
0,9.598,1.91
0,9.599,1.91
0,9.600,1.91
0,9.625,1.91
0,9.639,1.91
0,9.661,1.91
0,9.662,1.91
0,9.663,1.92
0,9.681,1.92
0,9.698,1.92
0,9.700,1.92
0,9.702,1.92
0,9.722,1.92
0,9.738,1.92
0,9.740,1.92
0,9.772,1.92
0,9.774,1.92
0,9.776,1.92
0,9.797,1.92
0,9.799,1.92
0,9.805,1.92
0,9.813,1.92
0,9.814,1.92
0,9.814,1.92
0,9.846,1.92
0,9.847,1.93
0,9.847,1.93
0,9.859,1.93
0,9.888,1.93
0,9.888,1.93
0,9.888,1.93
0,9.889,1.93
0,9.929,1.93
0,9.929,1.93
0,9.930,1.93
0,9.931,1.93
0,9.970,1.93
0,9.971,1.93
0,9.972,1.93
0,9.992,1.93
0,10.012,1.93
0,10.012,1.93
0,10.013,1.93
0,10.014,1.93
0,10.053,1.93
0,10.053,1.94
0,10.055,1.94
0,10.056,1.94
0,10.094,1.94
0,10.095,1.94
0,10.097,1.94
0,10.116,1.94
0,10.138,1.94
0,10.139,1.94
0,10.139,1.94
0,10.140,1.94
0,10.177,1.94
0,10.177,1.94
0,10.178,1.94
0,10.180,1.94
0,10.218,1.94
0,10.220,1.94
0,10.221,1.94
0,10.241,1.94
0,10.260,1.95
0,10.263,1.95
0,10.263,1.95
0,10.264,1.95
0,10.301,1.95
0,10.302,1.95
0,10.303,1.95
0,10.303,1.95
0,10.342,1.95
0,10.343,1.95
0,10.344,1.95
0,10.363,1.95
0,10.384,1.95
0,10.384,1.95
0,10.384,1.95
0,10.386,1.95
0,10.425,1.95
0,10.426,1.95
0,10.427,1.95
0,10.428,1.95
0,10.467,1.95
0,10.467,1.95
0,10.490,1.95
0,10.491,1.95
0,10.508,1.95
0,10.511,1.95
0,10.511,1.95
0,10.512,1.95
0,10.549,1.95
0,10.550,1.95
0,10.551,1.95
0,10.552,1.95
0,10.591,1.95
0,10.591,1.95
0,10.610,1.95
0,10.610,1.95
0,10.632,1.95
0,10.632,1.95
0,10.632,1.95
0,10.633,1.95
0,10.673,1.95
0,10.674,1.95
0,10.674,1.96
0,10.694,1.96
0,10.715,1.96
0,10.716,1.96
0,10.717,1.96
0,10.737,1.96
0,10.756,1.96
0,10.759,1.96
0,10.760,1.96
0,10.761,1.96
0,10.797,1.96
0,10.798,1.96
0,10.798,1.96
0,10.818,1.96
0,10.839,1.96
0,10.840,1.96
0,10.860,1.96
0,10.860,1.96
0,10.880,1.96
0,10.882,1.96
0,10.882,1.96
0,10.883,1.96
0,10.922,1.96
0,10.922,1.97
0,10.923,1.97
0,10.925,1.97
0,10.963,1.97
0,10.964,1.97
0,10.965,1.97
0,10.985,1.97
0,11.004,1.97
0,11.006,1.97
0,11.006,1.97
0,11.007,1.97
0,11.046,1.97
0,11.046,1.97
0,11.047,1.97
0,11.048,1.97
0,11.087,1.97
0,11.088,1.97
0,11.108,1.97
0,11.109,1.97
0,11.128,1.97
0,11.129,1.97
0,11.130,1.97
0,11.130,1.97
0,11.170,1.97
0,11.170,1.97
0,11.171,1.99
0,11.172,1.99
0,11.211,1.99
0,11.212,1.99
0,11.213,1.99
0,11.234,1.99
0,11.252,1.99
0,11.255,1.99
0,11.255,1.99
0,11.256,1.99
0,11.294,1.99
0,11.294,1.99
0,11.295,1.99
0,11.315,1.99
0,11.335,1.99
0,11.336,1.99
0,11.357,1.99
0,11.357,1.99
0,11.376,1.99
0,11.378,1.99
0,11.378,1.99
0,11.379,1.99
0,11.418,1.99
0,11.418,1.99
0,11.419,1.99
0,11.439,1.99
0,11.459,1.99
0,11.460,1.99
0,11.480,2.00
0,11.480,2.00
0,11.501,2.00
0,11.504,2.00
0,11.504,2.00
0,11.505,2.00
0,11.542,2.00
0,11.542,2.00
0,11.543,2.00
0,11.563,2.00
0,11.583,2.00
0,11.584,2.00
0,11.585,2.00
0,11.605,2.00
0,11.625,2.00
0,11.626,2.00
0,11.626,2.00
0,11.627,2.00
0,11.666,2.00
0,11.666,2.00
0,11.667,2.00
0,11.668,2.00
0,11.707,2.00
0,11.708,2.00
0,11.734,2.00
0,11.734,2.00
0,11.749,2.00
0,11.761,2.00
0,11.761,2.00
0,11.762,2.01
0,11.790,2.01
0,11.790,2.01
0,11.792,2.01
0,11.793,2.01
0,11.831,2.01
0,11.833,2.01
0,11.859,2.01
0,11.859,2.01
0,11.873,2.01
0,11.885,2.01
0,11.886,2.01
0,11.888,2.01
0,11.914,2.01
0,11.915,2.01
0,11.916,2.01
0,11.942,2.01
0,11.955,2.01
0,11.957,2.01
0,11.983,2.01
0,11.983,2.01
0,11.997,2.01
0,12.010,2.01
0,12.010,2.01
0,12.011,2.01
0,12.038,2.01
0,12.039,2.01
0,12.039,2.01
0,12.065,2.01
0,12.080,2.01
0,12.080,2.01
0,12.106,2.01
0,12.107,2.02
0,12.121,2.02
0,12.137,2.02
0,12.137,2.02
0,12.138,2.02
0,12.176,2.02
0,12.178,2.02
0,12.179,2.02
0,12.212,2.02
0,12.214,2.02
0,12.216,2.02
0,12.218,2.02
0,12.243,2.02
0,12.245,2.02
0,12.259,2.02
0,12.259,2.02
0,12.259,2.02
0,12.286,2.02
0,12.287,2.02
0,12.287,2.02
0,12.288,2.02
0,12.328,2.02
0,12.329,2.02
0,12.364,2.02
0,12.364,2.02
0,12.369,2.02
0,12.402,2.02
0,12.403,2.02
0,12.404,2.02
0,12.440,2.02
0,12.440,2.02
0,12.442,2.03
0,12.444,2.03
0,12.480,2.03
0,12.482,2.03
0,12.484,2.03
0,12.519,2.03
0,12.520,2.03
0,12.555,2.03
0,12.555,2.03
0,12.559,2.03
0,12.561,2.03
0,12.596,2.03
0,12.597,2.03
0,12.617,2.03
0,12.618,2.03
0,12.618,2.03
0,12.639,2.03
0,12.639,2.03
0,12.641,2.03
0,12.642,2.03
0,12.663,2.03
0,12.664,2.03
0,12.697,2.03
0,12.697,2.03
0,12.698,2.03
0,12.734,2.03
0,12.735,2.03
0,12.736,2.03
0,12.777,2.03
0,12.777,2.04
0,12.780,2.04
0,12.782,2.04
0,12.784,2.04
0,12.813,2.04
0,12.830,2.04
0,12.831,2.04
0,12.831,2.04
0,12.848,2.04
0,12.848,2.04
0,12.849,2.04
0,12.850,2.04
0,12.866,2.04
0,12.867,2.04
0,12.868,2.04
0,12.886,2.04
0,12.886,2.04
0,12.907,2.04
0,12.907,2.04
0,12.908,2.04
0,12.909,2.04
0,12.948,2.04
0,12.949,2.04
0,12.970,2.04
0,12.970,2.04
0,12.989,2.04
0,12.991,2.04
0,12.991,2.05
0,12.992,2.05
0,13.031,2.05
0,13.031,2.05
0,13.032,2.05
0,13.033,2.05
0,13.072,2.05
0,13.073,2.05
0,13.094,2.05
0,13.094,2.05
0,13.113,2.05
0,13.116,2.05
0,13.116,2.05
0,13.118,2.05
0,13.155,2.05
0,13.155,2.05
0,13.156,2.05
0,13.177,2.05
0,13.196,2.05
0,13.197,2.05
0,13.223,2.05
0,13.224,2.05
0,13.238,2.05
0,13.263,2.05
0,13.263,2.05
0,13.264,2.06
0,13.300,2.06
0,13.300,2.06
0,13.302,2.06
0,13.304,2.06
0,13.340,2.06
0,13.342,2.06
0,13.343,2.06
0,13.379,2.06
0,13.382,2.06
0,13.383,2.06
0,13.424,2.06
0,13.425,2.06
0,13.463,2.06
0,13.463,2.06
0,13.464,2.06
0,13.488,2.06
0,13.489,2.06
0,13.490,2.06
0,13.492,2.06
0,13.516,2.06
0,13.517,2.06
0,13.542,2.07
0,13.542,2.07
0,13.544,2.07
0,13.545,2.07
0,13.569,2.07
0,13.570,2.07
0,13.572,2.07
0,13.597,2.07
0,13.598,2.07
0,13.618,2.07
0,13.619,2.07
0,13.619,2.07
0,13.639,2.07
0,13.640,2.07
0,13.640,2.07
0,13.660,2.07
0,13.661,2.07
0,13.662,2.07
0,13.663,2.07
0,13.692,2.07
0,13.693,2.08
0,13.714,2.08
0,13.715,2.08
0,13.734,2.08
0,13.738,2.08
0,13.738,2.08
0,13.739,2.08
0,13.775,2.08
0,13.775,2.08
0,13.776,2.08
0,13.795,2.08
0,13.816,2.08
0,13.817,2.08
0,13.839,2.08
0,13.839,2.08
0,13.858,2.08
0,13.862,2.08
0,13.862,2.08
