0.042028	0.247719	
0.042088	0.248070	
0.042104	0.248421	
0.042135	0.248772	
0.042201	0.249123	
0.042219	0.249474	
0.042242	0.249825	
0.042405	0.250175	
0.042479	0.250526	
0.042544	0.250877	
0.042770	0.251228	
0.042783	0.251579	
0.042806	0.251930	
0.042862	0.252281	
0.042950	0.252632	
0.042968	0.252982	
0.043253	0.253333	
0.043372	0.253684	
0.043436	0.254035	
0.043478	0.254386	
0.043671	0.254737	
0.043905	0.255088	
0.044054	0.255439	
0.044232	0.255789	
0.044233	0.256140	
0.044619	0.256491	
0.044671	0.256842	
0.044747	0.257193	
0.044821	0.257544	
0.044966	0.257895	
0.044990	0.258246	
0.045048	0.258596	
0.045179	0.258947	
0.045257	0.259298	
0.045272	0.259649	
0.045361	0.260000	
0.045493	0.260351	
0.045645	0.260702	
0.045694	0.261053	
0.045748	0.261404	
0.045792	0.261754	
0.045950	0.262105	
0.045977	0.262456	
0.046010	0.262807	
0.046034	0.263158	
0.046136	0.263509	
0.046142	0.263860	
0.046248	0.264211	
0.046424	0.264561	
0.046492	0.264912	
0.046561	0.265263	
0.046619	0.265614	
0.046639	0.265965	
0.046676	0.266316	
0.047138	0.266667	
0.047142	0.267018	
0.047271	0.267368	
0.047295	0.267719	
0.047518	0.268070	
0.047518	0.268421	
0.047548	0.268772	
0.047642	0.269123	
0.047648	0.269474	
0.047755	0.269825	
0.047811	0.270175	
0.047873	0.270526	
0.048056	0.270877	
0.048067	0.271228	
0.048124	0.271579	
0.048332	0.271930	
0.048421	0.272281	
0.048886	0.272632	
0.048957	0.272982	
0.049286	0.273333	
0.049357	0.273684	
0.049362	0.274035	
0.049372	0.274386	
0.049409	0.274737	
0.049525	0.275088	
0.049547	0.275439	
0.049640	0.275789	
0.049678	0.276140	
0.049782	0.276491	
0.049954	0.276842	
0.049958	0.277193	
0.050029	0.277544	
0.050091	0.277895	
0.050153	0.278246	
0.050167	0.278596	
0.050249	0.278947	
0.050514	0.279298	
0.050582	0.279649	
0.050679	0.280000	
0.050722	0.280351	
0.050920	0.280702	
0.050965	0.281053	
0.051017	0.281404	
0.051166	0.281754	
0.051245	0.282105	
0.051487	0.282456	
0.051614	0.282807	
0.051627	0.283158	
0.051669	0.283509	
0.051697	0.283860	
0.051723	0.284211	
0.051765	0.284561	
0.052056	0.284912	
0.052105	0.285263	
0.052295	0.285614	
0.052299	0.285965	
0.052373	0.286316	
0.052593	0.286667	
0.052890	0.287018	
0.053025	0.287368	
0.053033	0.287719	
0.053185	0.288070	
0.053242	0.288421	
0.053251	0.288772	
0.053311	0.289123	
0.053421	0.289474	
0.053446	0.289825	
0.053485	0.290175	
0.053608	0.290526	
0.053679	0.290877	
0.053728	0.291228	
0.053757	0.291579	
0.053776	0.291930	
0.053850	0.292281	
0.053888	0.292632	
0.053958	0.292982	
0.054045	0.293333	
0.054049	0.293684	
0.054065	0.294035	
0.054289	0.294386	
0.054375	0.294737	
0.054451	0.295088	
0.054789	0.295439	
0.054835	0.295789	
0.054921	0.296140	
0.054936	0.296491	
0.055022	0.296842	
0.055031	0.297193	
0.055358	0.297544	
0.055411	0.297895	
0.055684	0.298246	
0.055696	0.298596	
0.055713	0.298947	
0.055755	0.299298	
0.055845	0.299649	
0.055886	0.300000	
0.056217	0.300351	
0.056269	0.300702	
0.056291	0.301053	
0.056464	0.301404	
0.056566	0.301754	
0.056576	0.302105	
0.056841	0.302456	
0.056842	0.302807	
0.056905	0.303158	
0.056915	0.303509	
0.056925	0.303860	
0.057062	0.304211	
0.057063	0.304561	
0.057264	0.304912	
0.057358	0.305263	
0.057508	0.305614	
0.057512	0.305965	
0.057835	0.306316	
0.057909	0.306667	
0.058036	0.307018	
0.058097	0.307368	
0.058172	0.307719	
0.058178	0.308070	
0.058204	0.308421	
0.058254	0.308772	
0.058317	0.309123	
0.058366	0.309474	
0.058495	0.309825	
0.058634	0.310175	
0.058855	0.310526	
0.058980	0.310877	
0.058992	0.311228	
0.059117	0.311579	
0.059217	0.311930	
0.059412	0.312281	
0.059639	0.312632	
0.059754	0.312982	
0.059767	0.313333	
0.059876	0.313684	
0.060082	0.314035	
0.060476	0.314386	
0.060641	0.314737	
0.060714	0.315088	
0.060930	0.315439	
0.060952	0.315789	
0.060958	0.316140	
0.061093	0.316491	
0.061195	0.316842	
0.061196	0.317193	
0.061395	0.317544	
0.061667	0.317895	
0.061681	0.318246	
0.061776	0.318596	
0.061794	0.318947	
0.061860	0.319298	
0.061879	0.319649	
0.061940	0.320000	
0.062023	0.320351	
0.062156	0.320702	
0.062171	0.321053	
0.062189	0.321404	
0.062206	0.321754	
0.062417	0.322105	
0.062518	0.322456	
0.062737	0.322807	
0.062752	0.323158	
0.063013	0.323509	
0.063023	0.323860	
0.063041	0.324211	
0.063587	0.324561	
0.063708	0.324912	
0.063752	0.325263	
0.063889	0.325614	
0.063901	0.325965	
0.063947	0.326316	
0.064006	0.326667	
0.064243	0.327018	
0.064385	0.327368	
0.064409	0.327719	
0.064504	0.328070	
0.064542	0.328421	
0.064796	0.328772	
0.065151	0.329123	
0.065204	0.329474	
0.065333	0.329825	
0.065451	0.330175	
0.065521	0.330526	
0.065703	0.330877	
0.065707	0.331228	
0.065838	0.331579	
0.065848	0.331930	
0.066047	0.332281	
0.066108	0.332632	
0.066211	0.332982	
0.066407	0.333333	
0.066660	0.333684	
0.066709	0.334035	
0.066718	0.334386	
0.066955	0.334737	
0.067101	0.335088	
0.067283	0.335439	
0.067292	0.335789	
